,VM Name,vCPUs,Memory (GiB),Linux Price,Windows Price
,Standard_B1ls,1,0.5,0.0052,0.0092
,Standard_A0,1,0.75,0.0200,0.0200
,Standard_B1ms,1,2,0.0207,0.0246
,Basic_A1,1,1.75,0.0230,0.0320
,Standard_B2s,2,4,0.0416,0.0496
,Standard_A1_v2,1,2,0.0430,0.0650
,Standard_F1,1,2,0.0497,0.0957
,Standard_F1s,1,2,0.0497,0.0957
,Standard_A1,1,1.75,0.0600,0.0900
,Standard_D2pls_v5,2,4,0.0680,0.1600
,Standard_D1_v2,1,3.5,0.0730,0.1260
,Standard_DS1_v2,1,3.5,0.0730,0.1260
,Standard_D2plds_v5,2,4,0.0768,0.1690
,Standard_D1,1,3.5,0.0770,0.1400
,Standard_D2ps_v5,2,8,0.0770,0.1690
,Standard_DS1,1,3.5,0.0770,0.1400
,Basic_A2,2,3.5,0.0790,0.1330
,Standard_B2ms,2,8,0.0832,0.0912
,Standard_F2s_v2,2,4,0.0846,0.1630
,Standard_D2as_v5,2,8,0.0860,0.1780
,Standard_A2_v2,2,4,0.0910,0.1360
,Standard_DC2as_v5,2,8,0.0946,0.1870
,Standard_D2_v3,2,8,0.0960,0.1880
,Standard_D2_v4,2,8,0.0960,0.1880
,Standard_D2_v5,2,8,0.0960,0.1880
,Standard_D2a_v4,2,8,0.0960,0.1880
,Standard_D2as_v4,2,8,0.0960,0.1880
,Standard_D2s_v3,2,8,0.0960,0.1880
,Standard_D2s_v4,2,8,0.0960,0.1880
,Standard_D2s_v5,2,8,0.0960,0.1880
,Standard_DC1s_v2,1,4,0.0960,0.1420
,Standard_DC1s_v3,1,8,0.0960,0.1420
,Standard_F2,2,4,0.0990,0.1920
,Standard_F2s,2,4,0.0990,0.1920
,Standard_E2ps_v5,2,16,0.1010,0.1930
,Standard_D2ads_v5,2,8,0.1030,0.1950
,Standard_D2d_v4,2,8,0.1130,0.2050
,Standard_D2d_v5,2,8,0.1130,0.2050
,Standard_D2ds_v4,2,8,0.1130,0.2050
,Standard_D2ds_v5,2,8,0.1130,0.2050
,Standard_DC1ds_v3,1,8,0.1130,0.1590
,Standard_DC2ads_v5,2,8,0.1130,0.2050
,Standard_E2as_v5,2,16,0.1130,0.2050
,Standard_A2m_v2,2,16,0.1190,0.1800
,Standard_A2,2,3.5,0.1200,0.1800
,Standard_EC2as_v5,2,16,0.1240,0.2160
,Standard_E2_v3,2,16,0.1260,0.2180
,Standard_E2_v4,2,16,0.1260,0.2180
,Standard_E2_v5,2,16,0.1260,0.2180
,Standard_E2a_v4,2,16,0.1260,0.2180
,Standard_E2as_v4,2,16,0.1260,0.2180
,Standard_E2s_v3,2,16,0.1260,0.2180
,Standard_E2s_v4,2,16,0.1260,0.2180
,Standard_E2s_v5,2,16,0.1260,0.2180
,Standard_E2ads_v5,2,16,0.1310,0.2230
,Standard_D4pls_v5,4,8,0.1360,0.3200
,Standard_E2d_v4,2,16,0.1440,0.2360
,Standard_E2d_v5,2,16,0.1440,0.2360
,Standard_E2ds_v4,2,16,0.1440,0.2360
,Standard_E2ds_v5,2,16,0.1440,0.2360
,Standard_EC2ads_v5,2,16,0.1440,0.2360
,Standard_D2_v2,2,7,0.1460,0.2520
,Standard_DS2_v2,2,7,0.1460,0.2520
,Standard_E2bs_v5,2,16,0.1490,0.2410
,Standard_D2,2,7,0.1540,0.2800
,Standard_D4plds_v5,4,8,0.1540,0.3380
,Standard_DS2,2,7,0.1540,0.2800
,Standard_B4ms,4,16,0.1660,0.1820
,Standard_F4s_v2,4,8,0.1690,0.3260
,Standard_D4as_v5,4,16,0.1720,0.3560
,Standard_D4pds_v5,4,16,0.1810,0.3650
,Standard_D11_v2,2,14,0.1850,0.2640
,Standard_DS11_v2,2,14,0.1850,0.2640
,Standard_DS11-1_v2,1,14,0.1850,0.2640
,Standard_DC4as_v5,4,16,0.1890,0.3730
,Standard_A4_v2,4,8,0.1910,0.2860
,Standard_D4_v3,4,16,0.1920,0.3760
,Standard_D4_v4,4,16,0.1920,0.3760
,Standard_D4_v5,4,16,0.1920,0.3760
,Standard_D4a_v4,4,16,0.1920,0.3760
,Standard_D4as_v4,4,16,0.1920,0.3760
,Standard_D4s_v3,4,16,0.1920,0.3760
,Standard_D4s_v4,4,16,0.1920,0.3760
,Standard_D4s_v5,4,16,0.1920,0.3760
,Standard_DC2s_v3,2,16,0.1920,0.2840
,Standard_D11,2,14,0.1930,0.2640
,Standard_DS11,2,14,0.1930,0.2640
,Standard_DC2s,2,8,0.1980,0.2440
,Standard_F4,4,8,0.1990,0.3830
,Standard_F4s,4,8,0.1990,0.3830
,Standard_E4ps_v5,4,32,0.2020,0.3860
,Standard_D4ads_v5,4,16,0.2060,0.3900
,Standard_D4d_v4,4,16,0.2260,0.4100
,Standard_D4d_v5,4,16,0.2260,0.4100
,Standard_D4ds_v4,4,16,0.2260,0.4100
,Standard_D4ds_v5,4,16,0.2260,0.4100
,Standard_DC2ds_v3,2,16,0.2260,0.3180
,Standard_E4-2as_v5,2,32,0.2260,0.4100
,Standard_E4as_v5,4,32,0.2260,0.4100
,Standard_DC4ads_v5,4,16,0.2270,0.4110
,Standard_E4pds_v5,4,32,0.2300,0.4140
